,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
277,A.Brown,Antonio Brown,PIT,WR,19.51,43,reception,0,0,2017,REG,14,2017121013,,"Q2 (6:20) (No Huddle, Shotgun) B.Roethlisberger pass deep right to A.Brown pushed ob at BAL 27 for 43 yards (B.Carr)."
278,J.Bellamy,Josh Bellamy,CHI,WR,19.25,36,reception,0,0,2017,REG,14,2017121002,,Q2 (15:00) (Shotgun) M.Trubisky pass short right to J.Bellamy to CIN 12 for 36 yards (G.Iloka).
279,K.Allen,Keenan Allen,LAC,WR,19.21,51,reception,0,0,2017,REG,14,2017121010,,Q3 (7:09) P.Rivers pass deep right to K.Allen to WAS 1 for 51 yards (J.Norman).
280,T.Hill,Tyreek Hill,KC,WR,21.19,64,reception,1,0,2017,REG,15,2017121601,,"Q2 (6:39) (Shotgun) A.Smith pass deep right to T.Hill for 64 yards, TOUCHDOWN."
281,T.Gurley,Todd Gurley,LA,RB,21.09,57,rush,1,0,2017,REG,15,2017121708,,"Q2 (:37) T.Gurley left tackle for 57 yards, TOUCHDOWN."
282,C.Patterson,Cordarrelle Patterson,OAK,WR,20.43,20,kickoff ret,0,1,2017,REG,15,2017121711,,"Q3 D.Bailey kicks 65 yards from DAL 35 to OAK 0. C.Patterson for 100 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on OAK-X.Woodson-Luster, Offensive Holding, 10 yards, enforced at OAK 20."
283,K.Drake,Kenyan Drake,MIA,RB,20.43,31,rush,0,0,2017,REG,15,2017121700,,Q1 (5:58) K.Drake right end pushed ob at BUF 13 for 31 yards (M.Hyde).
284,T.Cohen,Tarik Cohen,CHI,RB,20.39,24,kickoff ret,0,1,2017,REG,15,2017121600,,"Q2 S.Martin kicks 69 yards from DET 35 to CHI -4. T.Cohen pushed ob at DET 14 for 90 yards (N.Lawson). PENALTY on CHI-D.Houston-Carson, Offensive Holding, 10 yards, enforced at CHI 20."
285,K.Cole,Keelan Cole,JAX,WR,20.25,73,reception,0,0,2017,REG,15,2017121703,,Q3 (8:07) B.Bortles pass deep middle to K.Cole to HOU 1 for 73 yards (B.McKinney).
286,M.Ingram,Mark Ingram,NO,RB,20.15,50,rush,1,0,2017,REG,15,2017121705,,"Q4 (1:43) M.Ingram right tackle for 50 yards, TOUCHDOWN."
287,M.Bryant,Martavis Bryant,PIT,WR,20.13,39,reception,0,0,2017,REG,15,2017121709,,Q2 (15:00) (Shotgun) B.Roethlisberger pass deep right to M.Bryant to NE 17 for 39 yards (S.Gilmore) [D.Wise].
288,C.Jones,Chris Jones,DAL,P,20.05,24,rush,0,0,2017,REG,15,2017121711,,Q3 (4:45) (Punt formation) C.Jones right end ran ob at DAL 48 for 24 yards (J.Richard).
289,J.Natson,JoJo Natson,NYJ,WR,20,15,rush,0,0,2017,REG,15,2017121705,,Q3 (14:50) J.Natson right end ran ob at NYJ 33 for 15 yards (M.Williams).
290,J.Nelson,J.J. Nelson,ARI,WR,19.92,7,rush,0,0,2017,REG,15,2017121707,,Q2 (5:26) (Shotgun) J.Nelson right end pushed ob at ARI 27 for 7 yards (B.Breeland).
291,T.King,Tavarres King,NYG,WR,19.74,57,reception,1,0,2017,REG,15,2017121706,,"Q3 (2:16) (No Huddle, Shotgun) E.Manning pass short left to T.King for 57 yards, TOUCHDOWN. The Replay Official reviewed the runner was out of bounds ruling, and the play was Upheld. The ruling on the field stands."
292,T.Benjamin,Travis Benjamin,LAC,WR,19.74,7,rush,0,0,2017,REG,15,2017121601,,Q1 (14:28) (Shotgun) T.Benjamin left end pushed ob at LAC 39 for 7 yards (R.Parker).
