,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
59,20,B.Cooks,Brandin Cooks,NE,WR,16.49,31,reception,0,0,2017,POST,20,2018012100,79,1,14:18,(14:18) (Shotgun) T.Brady pass deep right to B.Cooks to JAX 39 for 31 yards (T.Smith).
60,1,A.Jeffery,Alshon Jeffery,PHI,WR,18.06,34,reception,1,0,2017,POST,22,2018020400,754,1,02:41,"(2:41) N.Foles pass deep left to A.Jeffery for 34 yards, TOUCHDOWN."
61,2,C.Hogan,Chris Hogan,NE,WR,17.86,43,reception,0,0,2017,POST,22,2018020400,1772,2,02:55,(2:55) (Shotgun) T.Brady pass deep right to C.Hogan to PHI 26 for 43 yards (J.Mills).
62,3,L.Blount,LeGarrette Blount,PHI,RB,17.82,36,rush,0,0,2017,POST,22,2018020400,733,1,03:31,(3:31) (Shotgun) L.Blount up the middle to NE 34 for 36 yards (D.Harmon).
63,4,D.Amendola,Danny Amendola,NE,WR,17.63,50,reception,0,0,2017,POST,22,2018020400,881,1,01:41,(1:41) (Shotgun) T.Brady pass deep left to D.Amendola to PHI 29 for 50 yards (R.Darby).
64,5,N.Agholor,Nelson Agholor,PHI,WR,17.39,10,reception,0,0,2017,POST,22,2018020400,3797,4,04:11,(4:11) (Shotgun) N.Foles pass short right to N.Agholor to NE 42 for 10 yards (P.Chung).
65,6,R.Burkhead,Rex Burkhead,NE,RB,17.35,46,reception,0,0,2017,POST,22,2018020400,1391,2,08:48,(8:48) T.Brady pass short right to R.Burkhead to PHI 29 for 46 yards (C.Graham) [F.Cox].
66,7,N.Agholor,Nelson Agholor,PHI,WR,17.35,9,rush,0,0,2017,POST,22,2018020400,3162,3,01:23,"(1:23) N.Agholor left end to NE 23 for 9 yards (E.Rowe, P.Chung)."
67,8,D.Harmon,Duron Harmon,NE,FS,17.33,8,int,0,0,2017,POST,22,2018020400,1606,2,05:15,"(5:15) (No Huddle, Shotgun) N.Foles pass deep right intended for A.Jeffery INTERCEPTED by D.Harmon (S.Gilmore) at NE 2. D.Harmon to NE 10 for 8 yards (A.Jeffery; T.Burton)."
68,9,C.Clement,Corey Clement,PHI,RB,17.3,22,reception,1,0,2017,POST,22,2018020400,2764,3,07:25,"(7:25) (Shotgun) N.Foles pass deep left to C.Clement for 22 yards, TOUCHDOWN. The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands."
